time_s,frame_id,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,battery_percent,mission_state,safety_status,severity,recommended_action,supervisor_mode,active_response,response_reason,detail
2.69,px4_local_ned_converted,-0.07,-0.03,1.69,0.04,-0.01,-0.05,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
2.8,px4_local_ned_converted,-0.07,-0.03,1.69,0.04,-0.01,-0.05,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
2.9,px4_local_ned_converted,-0.07,-0.03,1.69,0.04,-0.01,-0.05,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
3.01,px4_local_ned_converted,-0.07,-0.02,1.69,0.04,-0.01,-0.04,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
3.11,px4_local_ned_converted,-0.07,-0.02,1.69,0.04,-0.01,-0.05,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
3.21,px4_local_ned_converted,-0.07,-0.02,1.69,0.04,-0.01,-0.05,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
3.32,px4_local_ned_converted,-0.07,-0.02,1.69,0.04,-0.01,-0.04,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
3.42,px4_local_ned_converted,-0.07,-0.02,1.68,0.03,-0.01,-0.04,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
3.53,px4_local_ned_converted,-0.07,-0.02,1.68,0.03,-0.01,-0.04,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
3.63,px4_local_ned_converted,-0.07,-0.02,1.68,0.03,-0.01,-0.04,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
3.74,px4_local_ned_converted,-0.07,-0.02,1.68,0.03,-0.01,-0.03,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
3.84,px4_local_ned_converted,-0.07,-0.03,1.68,0.03,-0.01,-0.03,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
3.94,px4_local_ned_converted,-0.07,-0.03,1.68,0.03,-0.01,-0.03,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
4.05,px4_local_ned_converted,-0.07,-0.03,1.68,0.03,-0.01,-0.03,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
4.15,px4_local_ned_converted,-0.07,-0.03,1.68,0.03,-0.01,-0.03,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
4.26,px4_local_ned_converted,-0.07,-0.03,1.67,0.03,-0.01,-0.03,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
4.36,px4_local_ned_converted,-0.07,-0.03,1.67,0.03,-0.01,-0.03,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
4.47,px4_local_ned_converted,-0.07,-0.04,1.67,0.03,-0.01,-0.02,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
4.57,px4_local_ned_converted,-0.08,-0.04,1.67,0.03,-0.01,-0.02,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
4.67,px4_local_ned_converted,-0.08,-0.04,1.67,0.03,-0.01,-0.02,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
4.78,px4_local_ned_converted,-0.07,-0.05,1.67,0.03,-0.01,-0.02,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
4.88,px4_local_ned_converted,-0.07,-0.05,1.67,0.03,-0.01,-0.02,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
4.99,px4_local_ned_converted,-0.07,-0.05,1.67,0.03,-0.01,-0.02,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
5.09,px4_local_ned_converted,-0.07,-0.05,1.66,0.03,-0.0,-0.02,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
5.2,px4_local_ned_converted,-0.07,-0.05,1.66,0.03,-0.0,-0.02,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
5.3,px4_local_ned_converted,-0.07,-0.05,1.66,0.03,-0.0,-0.02,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
5.41,px4_local_ned_converted,-0.07,-0.06,1.66,0.03,-0.0,-0.01,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
5.51,px4_local_ned_converted,-0.07,-0.06,1.66,0.03,-0.0,-0.01,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
5.61,px4_local_ned_converted,-0.06,-0.06,1.65,0.03,0.0,-0.01,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
5.72,px4_local_ned_converted,-0.06,-0.06,1.65,0.02,0.0,-0.01,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
