time_s,frame_id,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,battery_percent,mission_state,safety_status,severity,recommended_action,detail
0.0,local_enu,0.0,0.0,0.0,0.0,0.0,0.0,100.0,IDLE,SAFE,INFO,CONTINUE,All monitored constraints satisfied
1.0,local_enu,0.0,0.0,2.0,0.0,0.0,2.0,99.92,TAKEOFF,SAFE,INFO,CONTINUE,All monitored constraints satisfied
2.0,local_enu,0.0,0.0,4.0,0.0,0.0,2.0,99.84,TAKEOFF,SAFE,INFO,CONTINUE,All monitored constraints satisfied
3.0,local_enu,0.0,0.0,6.0,0.0,0.0,2.0,99.76,TAKEOFF,SAFE,INFO,CONTINUE,All monitored constraints satisfied
4.0,local_enu,0.0,0.0,8.0,0.0,0.0,2.0,99.68,TAKEOFF,SAFE,INFO,CONTINUE,All monitored constraints satisfied
5.0,local_enu,0.0,0.0,10.0,0.0,0.0,2.0,99.61,TAKEOFF,SAFE,INFO,CONTINUE,All monitored constraints satisfied
6.0,local_enu,0.0,0.0,12.0,0.0,0.0,2.0,99.53,TAKEOFF,SAFE,INFO,CONTINUE,All monitored constraints satisfied
7.0,local_enu,0.0,0.0,14.0,0.0,0.0,2.0,99.45,TAKEOFF,SAFE,INFO,CONTINUE,All monitored constraints satisfied
8.0,local_enu,0.0,0.0,16.0,0.0,0.0,2.0,99.37,TAKEOFF,SAFE,INFO,CONTINUE,All monitored constraints satisfied
9.0,local_enu,0.0,0.0,18.0,0.0,0.0,2.0,99.29,TAKEOFF,SAFE,INFO,CONTINUE,All monitored constraints satisfied
10.0,local_enu,0.0,0.0,20.0,0.0,0.0,2.0,99.21,TAKEOFF,SAFE,INFO,CONTINUE,All monitored constraints satisfied
11.0,local_enu,5.0,0.0,20.0,5.0,0.0,0.0,99.09,WAYPOINT_1,SAFE,INFO,CONTINUE,All monitored constraints satisfied
12.0,local_enu,10.0,0.0,20.0,5.0,0.0,0.0,98.98,WAYPOINT_1,SAFE,INFO,CONTINUE,All monitored constraints satisfied
13.0,local_enu,15.0,0.0,20.0,5.0,0.0,0.0,98.87,WAYPOINT_1,SAFE,INFO,CONTINUE,All monitored constraints satisfied
14.0,local_enu,18.0,4.0,20.0,3.0,4.0,0.0,98.76,WAYPOINT_2,SAFE,INFO,CONTINUE,All monitored constraints satisfied
15.0,local_enu,21.0,8.0,20.0,3.0,4.0,0.0,98.64,WAYPOINT_2,SAFE,INFO,CONTINUE,All monitored constraints satisfied
20.0,local_enu,24.0,12.0,20.0,3.0,4.0,0.0,98.53,WAYPOINT_2,STATE_TIMEOUT,CRITICAL,RETURN_TO_HOME,State update gap 5.0 s exceeds 2.0 s
21.0,local_enu,27.0,16.0,20.0,3.0,4.0,0.0,98.41,WAYPOINT_2,SAFE,INFO,CONTINUE,All monitored constraints satisfied
22.0,local_enu,30.0,20.0,20.0,3.0,4.0,0.0,98.3,WAYPOINT_2,SAFE,INFO,CONTINUE,All monitored constraints satisfied
22.97,local_enu,25.83,22.5,19.67,-4.28,2.57,-0.34,98.19,WAYPOINT_3,SAFE,INFO,CONTINUE,All monitored constraints satisfied
23.95,local_enu,21.67,25.0,19.33,-4.28,2.57,-0.34,98.08,WAYPOINT_3,SAFE,INFO,CONTINUE,All monitored constraints satisfied
24.92,local_enu,17.5,27.5,19.0,-4.28,2.57,-0.34,97.96,WAYPOINT_3,SAFE,INFO,CONTINUE,All monitored constraints satisfied
25.9,local_enu,13.33,30.0,18.67,-4.28,2.57,-0.34,97.85,WAYPOINT_3,SAFE,INFO,CONTINUE,All monitored constraints satisfied
26.87,local_enu,9.17,32.5,18.33,-4.28,2.57,-0.34,97.74,WAYPOINT_3,SAFE,INFO,CONTINUE,All monitored constraints satisfied
27.84,local_enu,5.0,35.0,18.0,-4.28,2.57,-0.34,97.63,WAYPOINT_3,SAFE,INFO,CONTINUE,All monitored constraints satisfied
28.73,local_enu,4.38,30.62,18.25,-0.71,-4.94,0.28,97.53,RETURN_HOME,SAFE,INFO,CONTINUE,All monitored constraints satisfied
29.61,local_enu,3.75,26.25,18.5,-0.71,-4.94,0.28,97.43,RETURN_HOME,SAFE,INFO,CONTINUE,All monitored constraints satisfied
30.5,local_enu,3.12,21.88,18.75,-0.71,-4.94,0.28,97.32,RETURN_HOME,SAFE,INFO,CONTINUE,All monitored constraints satisfied
31.38,local_enu,2.5,17.5,19.0,-0.71,-4.94,0.28,97.22,RETURN_HOME,SAFE,INFO,CONTINUE,All monitored constraints satisfied
32.27,local_enu,1.88,13.12,19.25,-0.71,-4.94,0.28,97.12,RETURN_HOME,SAFE,INFO,CONTINUE,All monitored constraints satisfied
33.15,local_enu,1.25,8.75,19.5,-0.71,-4.94,0.28,97.02,RETURN_HOME,SAFE,INFO,CONTINUE,All monitored constraints satisfied
34.04,local_enu,0.62,4.38,19.75,-0.71,-4.94,0.28,96.92,RETURN_HOME,SAFE,INFO,CONTINUE,All monitored constraints satisfied
34.92,local_enu,0.0,0.0,20.0,-0.71,-4.94,0.28,96.82,RETURN_HOME,SAFE,INFO,CONTINUE,All monitored constraints satisfied
35.92,local_enu,0.0,0.0,18.0,0.0,0.0,-2.0,96.74,LANDING,SAFE,INFO,CONTINUE,All monitored constraints satisfied
36.92,local_enu,0.0,0.0,16.0,0.0,0.0,-2.0,96.66,LANDING,SAFE,INFO,CONTINUE,All monitored constraints satisfied
37.92,local_enu,0.0,0.0,14.0,0.0,0.0,-2.0,96.58,LANDING,SAFE,INFO,CONTINUE,All monitored constraints satisfied
38.92,local_enu,0.0,0.0,12.0,0.0,0.0,-2.0,96.5,LANDING,SAFE,INFO,CONTINUE,All monitored constraints satisfied
39.92,local_enu,0.0,0.0,10.0,0.0,0.0,-2.0,96.43,LANDING,SAFE,INFO,CONTINUE,All monitored constraints satisfied
40.92,local_enu,0.0,0.0,8.0,0.0,0.0,-2.0,96.35,LANDING,SAFE,INFO,CONTINUE,All monitored constraints satisfied
41.92,local_enu,0.0,0.0,6.0,0.0,0.0,-2.0,96.27,LANDING,SAFE,INFO,CONTINUE,All monitored constraints satisfied
42.92,local_enu,0.0,0.0,4.0,0.0,0.0,-2.0,96.19,LANDING,SAFE,INFO,CONTINUE,All monitored constraints satisfied
43.92,local_enu,0.0,0.0,2.0,0.0,0.0,-2.0,96.11,LANDING,SAFE,INFO,CONTINUE,All monitored constraints satisfied
44.92,local_enu,0.0,0.0,0.0,0.0,0.0,-2.0,96.03,LANDING,SAFE,INFO,CONTINUE,All monitored constraints satisfied
45.92,local_enu,0.0,0.0,0.0,0.0,0.0,0.0,96.03,MISSION_COMPLETE,SAFE,INFO,CONTINUE,All monitored constraints satisfied
