time_s,frame_id,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,battery_percent,mission_state,safety_status,severity,recommended_action,supervisor_mode,active_response,response_reason,detail
0.0,local_enu,0.0,0.0,0.0,0.0,0.0,0.0,100.0,IDLE,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
1.0,local_enu,0.0,0.0,2.0,0.0,0.0,2.0,99.92,TAKEOFF,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
2.0,local_enu,0.0,0.0,4.0,0.0,0.0,2.0,99.84,TAKEOFF,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
3.0,local_enu,0.0,0.0,6.0,0.0,0.0,2.0,99.76,TAKEOFF,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
4.0,local_enu,0.0,0.0,8.0,0.0,0.0,2.0,99.68,TAKEOFF,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
5.0,local_enu,0.0,0.0,10.0,0.0,0.0,2.0,99.61,TAKEOFF,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
6.0,local_enu,0.0,0.0,12.0,0.0,0.0,2.0,99.53,TAKEOFF,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
7.0,local_enu,0.0,0.0,14.0,0.0,0.0,2.0,99.45,TAKEOFF,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
8.0,local_enu,0.0,0.0,16.0,0.0,0.0,2.0,99.37,TAKEOFF,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
9.0,local_enu,0.0,0.0,18.0,0.0,0.0,2.0,99.29,TAKEOFF,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
10.0,local_enu,0.0,0.0,20.0,0.0,0.0,2.0,99.21,TAKEOFF,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
11.0,local_enu,5.0,0.0,20.0,5.0,0.0,0.0,99.09,WAYPOINT_1,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
12.0,local_enu,10.0,0.0,20.0,5.0,0.0,0.0,98.98,WAYPOINT_1,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
13.0,local_enu,15.0,0.0,20.0,5.0,0.0,0.0,98.87,WAYPOINT_1,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
14.0,local_enu,20.0,0.0,20.0,5.0,0.0,0.0,98.75,WAYPOINT_1,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
14.92,local_enu,24.44,1.11,20.0,4.85,1.21,0.0,98.64,WAYPOINT_2,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
15.83,local_enu,28.89,2.22,20.0,4.85,1.21,0.0,98.54,WAYPOINT_2,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
16.75,local_enu,33.33,3.33,20.0,4.85,1.21,0.0,98.43,WAYPOINT_2,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
17.66,local_enu,37.78,4.44,20.0,4.85,1.21,0.0,98.33,WAYPOINT_2,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
18.58,local_enu,42.22,5.56,20.0,4.85,1.21,0.0,98.22,WAYPOINT_2,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
19.5,local_enu,46.67,6.67,20.0,4.85,1.21,0.0,98.12,WAYPOINT_2,GEOFENCE_WARNING,WARNING,WARNING,WARNING_ACTIVE,MONITOR,GEOFENCE_WARNING,"Position (46.7, 6.7) is within 5.0 m of geofence"
20.41,local_enu,51.11,7.78,20.0,4.85,1.21,0.0,98.01,WAYPOINT_2,GEOFENCE_VIOLATION,CRITICAL,RETURN_TO_HOME,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,"Position (51.1, 7.8) outside geofence"
21.35,local_enu,46.46,7.07,20.0,-4.94,-0.75,0.0,97.9,RESPONSE_RETURN_HOME,GEOFENCE_WARNING,WARNING,WARNING,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,"Position (46.5, 7.1) is within 5.0 m of geofence"
22.29,local_enu,41.82,6.37,20.0,-4.94,-0.75,0.0,97.79,RESPONSE_RETURN_HOME,SAFE,INFO,CONTINUE,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,All monitored constraints satisfied
23.23,local_enu,37.17,5.66,20.0,-4.94,-0.75,0.0,97.69,RESPONSE_RETURN_HOME,SAFE,INFO,CONTINUE,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,All monitored constraints satisfied
24.17,local_enu,32.52,4.95,20.0,-4.94,-0.75,0.0,97.58,RESPONSE_RETURN_HOME,SAFE,INFO,CONTINUE,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,All monitored constraints satisfied
25.11,local_enu,27.88,4.24,20.0,-4.94,-0.75,0.0,97.47,RESPONSE_RETURN_HOME,SAFE,INFO,CONTINUE,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,All monitored constraints satisfied
